direction,signal_bar,signal_timestamp_utc,entry_bar,entry_timestamp_utc,entry_price,stop_price,tp_price,exit_bar,exit_timestamp_utc,exit_price,exit_reason,bars_held,units,notional_entry,notional_exit,cost_entry,cost_exit,cost_total,gross_pnl,net_pnl,r_multiple,equity_before,equity_after,return_frac,atr_at_entry,stop_distance_atr
long,510,2024-08-26 06:00:00+00:00,511,2024-08-26 10:00:00+00:00,30.155000686645508,28.49085301793212,35.14744369278567,542,2024-09-03 10:00:00+00:00,28.49085301793212,stop,31,300.45410596679096,9060.193771734044,8560.193771734044,9.060193771734044,8.560193771734044,17.620387543468087,-500.00000000000006,-517.6203875434682,-1.0,100000.0,99482.37961245653,-0.005176203875434681,0.3041470583618229,5.471523143037157
long,587,2024-09-12 22:00:00+00:00,588,2024-09-13 02:00:00+00:00,30.295000076293945,28.063702027250077,36.98889422342555,678,2024-10-04 02:00:00+00:00,32.505001068115234,time_stop,90,222.92490161743663,6753.509911508063,7246.174165184261,6.753509911508063,7.246174165184262,13.999684076692326,492.66425367619826,478.66456959950597,0.9904553059454764,99482.37961245653,99961.04418205604,0.004811551266306569,0.32629736239836193,6.838235015579978
long,727,2024-10-16 06:00:00+00:00,728,2024-10-16 10:00:00+00:00,32.09000015258789,30.615561732560572,36.51331541266985,818,2024-11-06 11:00:00+00:00,31.09000015258789,time_stop,90,338.98005784535894,10877.87010798182,10538.890050136462,10.87787010798182,10.538890050136462,21.416760158118283,-338.98005784535894,-360.3968180034772,-0.6782243235234413,99961.04418205604,99600.64736405257,-0.00360537268245315,0.33443903037888256,4.40869122948043
short,836,2024-11-11 11:00:00+00:00,837,2024-11-11 15:00:00+00:00,30.71500015258789,32.681418824302924,24.815744137442792,927,2024-12-03 23:00:00+00:00,31.5049991607666,time_stop,90,254.26935127905375,7809.88316333456,8010.755698655256,7.80988316333456,8.010755698655256,15.820638861989817,-200.8725353206967,-216.6931741826865,-0.4017450706413934,99600.64736405257,99383.95418986988,-0.002166931741826865,0.4164194346544871,4.722206765749577
long,947,2024-12-09 07:00:00+00:00,948,2024-12-09 11:00:00+00:00,32.185001373291016,30.598957706865882,36.94313237256642,972,2024-12-13 11:00:00+00:00,30.598957706865882,stop,24,313.9908738721792,10105.796706776933,9607.79346995667,10.105796706776934,9.60779346995667,19.713590176733604,-498.0032368202628,-517.7168269969964,-1.0,99383.95418986988,98866.23736287288,-0.005197926325766518,0.4810422168401741,3.297098697165067
short,992,2024-12-18 19:00:00+00:00,993,2024-12-18 23:00:00+00:00,29.8799991607666,31.41306944281209,25.280788314630133,1076,2025-01-10 11:00:00+00:00,31.41306944281209,stop,83,325.43617860977014,9724.032743743022,10222.949277872109,9.724032743743022,10.22294927787211,19.94698202161513,-498.91653412908664,-518.8635161507018,-1.0,98866.23736287288,98347.37384672218,-0.00519990299636426,0.3680693665181464,4.165166736226897
long,1076,2025-01-10 11:00:00+00:00,1077,2025-01-10 15:00:00+00:00,31.55500030517578,30.145924169558644,35.78222871202719,1087,2025-01-14 07:00:00+00:00,30.145924169558644,stop,10,351.58827842066853,11094.368232860423,10598.953580175144,11.094368232860424,10.598953580175145,21.693321813035567,-495.41465268527793,-517.1079744983135,-1.0,98347.37384672218,97830.26587222387,-0.005218941059730997,0.30907575414741056,4.5589992638021455
long,1155,2025-01-30 11:00:00+00:00,1156,2025-01-30 15:00:00+00:00,32.525001525878906,30.42209443262708,38.83372280563438,1246,2025-02-21 11:00:00+00:00,33.26499938964844,time_stop,90,234.35610369771544,7622.43263036723,7795.85564646489,7.622432630367229,7.79585564646489,15.418288276832119,173.42301609766017,158.00472782082804,0.35189279932725753,97830.26587222387,97988.27060004469,0.0016030376829711578,0.33290472813952154,6.316843575650539
long,1296,2025-03-05 19:00:00+00:00,1297,2025-03-05 23:00:00+00:00,33.23500061035156,31.26004101902722,39.15987938432459,1387,2025-03-26 22:00:00+00:00,34.220001220703125,time_stop,90,249.93885374681804,8306.717956826067,8552.907880317252,8.306717956826068,8.552907880317253,16.85962583714332,246.18992349118568,229.33029765404234,0.4987446906146843,97988.27060004469,98217.60089769874,0.002322947802454105,0.5099594387364532,3.8727777962454786
long,1390,2025-03-27 10:00:00+00:00,1391,2025-03-27 14:00:00+00:00,34.63999938964844,33.71648283457186,37.41054905487816,1417,2025-04-02 22:00:00+00:00,33.71648283457186,stop,26,535.7411139198654,18558.07185919371,18063.30607125355,18.55807185919371,18.063306071253553,36.62137793044727,-494.7657879401606,-531.3871658706079,-1.0,98217.60089769874,97686.21373182813,-0.005370088017634684,0.27851609731290017,3.315846243669878
